antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Zero', 'Normal', 'http'})","frozenset({'Low', 'normal', 'SF'})",0.21240870117497618,0.4771752937440457,0.1791044776119403,0.8432068772192113,1.7670799143920115,1.0,0.0777482932349798,3.3344874888863054,0.5511673857700634,0.350855365474339,0.7001038380461901,0.6092750133538033
"frozenset({'Normal', 'http'})","frozenset({'Low', 'normal', 'SF'})",0.21486979993648778,0.4771752937440457,0.18116862496030486,0.8431553667097728,1.7669719655729637,1.0,0.07863806505888697,3.333392385115996,0.5528510616368719,0.35462315462315463,0.7000053145662891,0.611412139722909
"frozenset({'Normal', 'http', 'tcp'})","frozenset({'Low', 'normal', 'SF'})",0.21486979993648778,0.4771752937440457,0.18116862496030486,0.8431553667097728,1.7669719655729637,1.0,0.07863806505888697,3.333392385115996,0.5528510616368719,0.35462315462315463,0.7000053145662891,0.611412139722909
"frozenset({'Zero', 'Normal', 'SF', 'tcp', 'Medium'})",frozenset({'normal'}),0.13087488091457605,0.5338599555414417,0.12345188948872658,0.9432817713072491,1.766908646202113,1.0,0.05358303138217953,8.218522602031385,0.4993985030865671,0.22807274860662952,0.8783236296323103,0.5872628649829428
"frozenset({'Zero', 'High', 'SF'})","frozenset({'normal', 'tcp'})",0.17858844077484917,0.4239838043823436,0.1337726262305494,0.7490553456323628,1.7667074494120851,1.0,0.058054019692117986,2.295391376513584,0.5283287357169049,0.28535139712108387,0.5643444467762719,0.5322844371640889
"frozenset({'Normal', 'Low', 'SF'})","frozenset({'normal', 'tcp'})",0.3632502381708479,0.4239838043823436,0.27139568116862495,0.7471314610425089,1.7621698124316902,1.0,0.11738346324615645,2.2779274875095816,0.6792586774655267,0.5261254328587919,0.5610044632749559,0.6936200325528994
"frozenset({'Normal', 'Medium'})","frozenset({'Low', 'normal'})",0.16481422673864718,0.48170053985392186,0.13976659256906954,0.8480250481695568,1.7604818305304883,1.0,0.06037549057345651,3.4104268756363174,0.5172186867928766,0.27581074729750904,0.7067815741355192,0.5690887498779387
"frozenset({'Normal', 'Low', 'Medium', 'tcp'})","frozenset({'Zero', 'normal'})",0.1401635439822166,0.4732851698952048,0.11674341060654175,0.8329085244973095,1.7598449676370227,1.0,0.05040608387980436,3.152254347627171,0.5021514558959036,0.23503556301446496,0.6827667155879282,0.539787316010292
"frozenset({'Normal', 'Low', 'Medium'})","frozenset({'Zero', 'normal'})",0.1401635439822166,0.4732851698952048,0.11674341060654175,0.8329085244973095,1.7598449676370227,1.0,0.05040608387980436,3.152254347627171,0.5021514558959036,0.23503556301446496,0.6827667155879282,0.539787316010292
"frozenset({'Normal', 'Medium'})","frozenset({'Low', 'normal', 'SF'})",0.16481422673864718,0.4771752937440457,0.13833756748174023,0.839354527938343,1.759006677299953,1.0,0.059692290424528505,3.254525008058055,0.5166483189770391,0.2746689785624212,0.6927354997967303,0.5646319266428259
"frozenset({'Zero', 'Normal', 'SF'})","frozenset({'normal', 'tcp'})",0.33288345506510003,0.4239838043823436,0.24821371864083835,0.7456475077510136,1.7586697889021192,1.0,0.1070765249463983,2.264637513572277,0.6466462681276072,0.48798189480255966,0.5584282279142398,0.6655397916996806
"frozenset({'Zero', 'Normal', 'SF', 'Medium', 'http'})",frozenset({'normal'}),0.10527151476659256,0.5338599555414417,0.09880120673229596,0.9385369532428356,1.7580208882514323,1.0,0.04260096053922263,7.584069925792003,0.4819099334320344,0.18285336467822508,0.8681446756445128,0.5618032375701872
"frozenset({'Zero', 'Normal', 'SF', 'tcp', 'Medium', 'http'})",frozenset({'normal'}),0.10527151476659256,0.5338599555414417,0.09880120673229596,0.9385369532428356,1.7580208882514323,1.0,0.04260096053922263,7.584069925792003,0.4819099334320344,0.18285336467822508,0.8681446756445128,0.5618032375701872
"frozenset({'Normal', 'Medium', 'SF', 'tcp'})",frozenset({'normal'}),0.16013020006351222,0.5338599555414417,0.15024610987615117,0.9382746653445713,1.75752958356461,1.0,0.06475900838940236,7.551843129902923,0.5131980395846661,0.2763177106146883,0.8675819951767384,0.6098541145891567
"frozenset({'Zero', 'Normal', 'Medium', 'tcp'})",frozenset({'normal'}),0.13301841854557003,0.5338599555414417,0.12456335344553826,0.9364368845120858,1.754087143626178,1.0,0.05355014643460736,7.333499009298715,0.4958616256916075,0.22968818620992532,0.8636394443181867,0.5848813911741781
frozenset({'http'}),"frozenset({'Normal', 'normal'})",0.31768021594156876,0.36876786281359164,0.20546205144490315,0.6467574659502686,1.7538335933497489,1.0,0.08831179715397056,1.7869652613734792,0.6299399313910095,0.42716844103325907,0.44039203133059784,0.6019578503055971
"frozenset({'http', 'tcp'})","frozenset({'Normal', 'normal'})",0.31768021594156876,0.36876786281359164,0.20546205144490315,0.6467574659502686,1.7538335933497489,1.0,0.08831179715397056,1.7869652613734792,0.6299399313910095,0.42716844103325907,0.44039203133059784,0.6019578503055971
